plates mjds fibers
3672 55484 96
3854 55247 42
4258 55481 893
5375 55973 355
6147 56239 589
4367 55566 233
6627 56369 57
4710 55707 87
6877 56544 865
5357 55956 813
5001 55719 132
6982 56444 801
4459 55533 938
3680 55159 638
3934 55336 645
6021 56067 795
5297 55913 679
6397 56365 529
6785 56487 561
4482 55617 824
4723 56033 186
3664 55245 998
4094 55481 638
3978 55330 587
3536 55098 892
4495 55566 587
5043 56187 276
3975 55321 591
6740 56401 641
6590 56273 282
4696 56354 329
4046 55605 912
6294 56482 954
3962 55660 608
4176 55682 126
4469 55863 862
4624 55654 950
3932 55337 206
6289 56559 80
7327 56715 175
7101 56634 509
5209 56002 126
5344 55924 289
6154 56237 724
6964 56748 114
6529 56535 528
6606 56304 116
4999 55721 549
5404 56013 549
5021 55863 484
3837 55572 328
5731 56363 928
5343 55999 283
3863 55280 415
4699 55684 714
3843 55278 362
7336 56656 703
3752 55236 678
6657 56366 463
6753 56399 164
4662 55590 309
4462 55600 36
6972 56426 616
6135 56192 97
7095 56625 686
6521 56537 293
4201 55443 737
5003 55715 306
5478 56014 324
3680 55159 674
3960 55663 702
4841 55895 633
5184 56352 907
7307 56720 791
6171 56311 646
6742 56415 263
5780 56274 555
4961 55719 869
5169 56045 420
3830 55574 621
6383 56362 57
6273 56243 491
7108 56686 317
5355 56009 460
4077 55361 996
6173 56238 467
6028 56102 554
6521 56537 781
6126 56269 532
7417 56753 659
4282 55507 985
4398 55946 374
3642 55177 598
5723 56597 269
6683 56416 400
3945 55648 55
4193 55476 114
6175 56265 684
5287 55952 157
7414 56748 484
5904 56046 933
6055 56102 957
6372 56341 148
4649 55621 41
4065 55368 453
3606 55182 937
5997 56309 37
6407 56311 755
3754 55488 5
4374 55883 937
3878 55361 328
4725 55711 663
4714 56041 435
6147 56239 826
3676 55186 958
5201 55832 692
4765 55674 839
5729 56598 529
6016 56073 573
5425 56003 898
6261 56219 216
6283 56239 648
5454 56015 52
6382 56365 946
5703 56190 161
4956 55737 578
4028 55621 532
6823 56687 614
6311 56447 181
5982 56074 679
7101 56634 231
5791 56255 217
6051 56093 898
5776 56010 308
6813 56419 145
5351 55952 773
5880 56042 331
3928 55331 539
3642 55177 542
5172 56065 214
6755 56413 838
6374 56326 609
4228 55484 148
5373 56010 235
5895 56046 61
3788 55246 624
4979 56045 139
6509 56486 287
7044 56591 700
5340 56011 763
5125 55863 381
7240 56665 788
4530 55564 253
6007 56066 14
7097 56667 796
4199 55481 710
6277 56273 939
4990 55743 362
5414 56014 198
7277 56748 537
3827 55565 36
6665 56390 93
5011 55739 448
4699 55684 849
7160 56599 997
4684 56226 185
5899 56038 638
5457 55976 688
6476 56358 290
4316 55505 446
5174 56047 579
7146 56573 637
6013 56074 104
4653 55622 222
5002 55710 331
4425 55864 373
6298 56208 458
7183 56658 94
4304 55506 110
4418 55862 532
4300 55528 411
4270 55511 126
5306 55926 308
4189 55679 97
4347 55830 356
4776 55652 179
6644 56384 901
4320 55894 596
4567 55589 226
5771 56011 222
4973 56042 51
7098 56661 359
6287 56221 300
4319 55507 364
5478 56014 518
5038 56235 128
5052 55857 185
7255 56597 772
3783 55246 559
5854 56035 548
4790 55888 316
6154 56237 258
6405 56342 37
4566 55630 109
6272 56325 816
5864 56047 258
6155 56245 726
5855 56088 408
6063 56077 83
7148 56591 922
5697 55944 473
5341 55931 942
4363 55537 99
6744 56399 911
5180 55947 620
6397 56365 410
7337 56662 327
5962 56265 490
3922 55333 481
7109 56658 206
6739 56393 972
5329 55946 618
3866 55623 759
5327 55979 610
5873 56035 99
5291 55947 263
4849 55945 588
6154 56237 798
6790 56430 687
4796 55924 287
4047 55352 3
7379 56713 118
4631 55617 516
6448 56365 763
4091 55498 768
4704 55681 916
3523 55144 682
5445 55987 193
5430 56000 906
6687 56602 444
6374 56326 898
4659 55587 334
5493 56009 389
5312 56001 502
3781 55243 322
5347 56008 359
4396 55829 714
6062 56091 614
5367 55986 41
5794 56282 874
4735 55651 803
4891 55736 830
6284 56310 122
6282 56572 899
6783 56284 893
5351 55952 919
5992 56066 605
3875 55364 914
7160 56599 452
5341 55931 317
4502 55569 412
3690 55182 384
4653 55622 428
4565 55591 768
6647 56390 706
5970 56046 114
4545 55567 621
6806 56419 577
3682 55244 630
4062 55383 769
6630 56358 31
6163 56219 256
4704 55681 25
6931 56388 970
5296 55922 505
4693 55632 982
6719 56390 425
4707 55653 616
4040 55605 190
6631 56364 399
7255 56597 771
5186 55987 375
5971 56064 840
5177 56245 637
4317 55480 720
7449 56740 852
5064 55864 860
6449 56356 167
6115 56237 12
4987 55746 9
5810 56358 947
5445 55987 66
3970 55296 197
5051 56214 445
6057 56099 466
5393 55946 639
5813 56363 31
6122 56246 501
5456 55980 371
5490 56003 785
4031 55604 763
5905 56065 41
3779 55222 96
4992 55723 960
4971 55747 866
5447 55958 59
5962 56265 466
5872 56027 385
3664 55245 117
6597 56304 694
7044 56591 452
6041 56102 91
4197 55479 162
4572 55622 49
4059 55360 989
4771 55925 960
7139 56568 927
5144 55829 843
4191 55444 636
4717 55742 297
6786 56448 507
4654 55659 621
5902 56042 580
5387 56009 91
6048 56072 851
4033 55332 99
3973 55323 505
5860 56046 133
5063 55831 133
4040 55605 740
5037 55823 542
5956 56104 506
4752 55653 92
6256 56323 234
7090 56659 544
6155 56245 560
5351 55952 627
4541 55882 459
5800 56279 663
6598 56574 958
6782 56602 908
6112 56191 107
6481 56363 252
5149 55944 804
6671 56388 788
4500 55543 203
4230 55483 245
4753 55674 946
4393 55944 618
4608 55973 760
7105 56740 445
4412 55912 619
5888 56041 590
6626 56330 678
5159 55856 617
6407 56311 692
3766 55213 675
5861 56069 463
6660 56370 228
4084 55447 14
4230 55483 5
7124 56720 807
4322 55503 812
5018 55734 365
4181 55685 671
7096 56683 418
4279 55508 406
4603 55999 58
4848 55955 413
3812 55513 910
3846 55327 39
3647 55181 150
4858 55686 983
4984 55827 296
5038 56235 786
5292 55926 100
6122 56246 668
5320 55999 315
5194 56062 187
4202 55445 554
4730 55630 899
6150 56187 947
4389 55539 405
3558 55123 535
4840 55690 625
6644 56384 906
6630 56358 70
5943 56218 68
7298 56661 463
4799 55656 80
3794 55241 89
3838 55588 406
6515 56536 42
5364 56000 871
4370 55534 548
6796 56453 813
5389 55953 319
4700 55709 378
4563 55617 601
6016 56073 187
5777 56280 104
5284 55866 975
6489 56329 249
6133 56246 658
5186 55987 688
4723 56033 181
5001 55719 428
6785 56487 332
4371 55830 97
5130 55835 226
4425 55864 159
3868 55360 876
6063 56077 406
5888 56041 403
5364 56000 930
5492 56010 853
5056 55921 665
5009 55707 586
5460 56000 369
3830 55574 550
5376 55987 90
6277 56273 760
4867 55924 988
4741 55704 474
4983 55836 305
6880 56543 997
5370 56003 194
6587 56537 822
3599 55103 5
3538 55124 552
6042 56101 713
6590 56273 918
4862 55685 479
3765 55508 288
3942 55338 921
4791 55889 409
6198 56211 964
3959 55679 617
6793 56430 910
7429 56740 926
4528 55559 61
5027 56218 67
7160 56599 897
4780 55682 897
5407 55926 307
3587 55182 63
4753 55674 83
4090 55500 202
4700 55709 645
6373 56298 261
6308 56215 989
7092 56683 813
5699 55953 787
4576 55592 291
6680 56420 326
3985 55320 468
5185 55978 814
7052 56539 81
5382 55982 23
6963 56724 506
4260 55478 606
6382 56365 482
6656 56624 862
7117 56685 507
6715 56449 232
5031 56209 20
4463 55868 633
5307 55998 824
4020 55332 973
3931 55350 857
7414 56748 753
6055 56102 755
5885 56036 409
6967 56447 932
3869 55273 182
6289 56559 559
5286 56225 303
3538 55124 158
3939 55633 847
5449 56030 968
6751 56368 283
5342 56003 650
5026 55855 430
4802 55652 260
6805 56442 898
5450 55986 76
4530 55564 483
6968 56443 412
6041 56102 11
4895 55708 106
3950 55680 472
5699 55953 204
6834 56478 802
4531 55563 259
5202 55824 33
6711 56388 934
5958 56213 185
4227 55481 334
4886 55737 186
4858 55686 340
4569 55631 558
5132 55858 246
4378 55853 884
5382 55982 139
6451 56358 583
4778 55706 255
4878 55710 884
6758 56415 188
6660 56370 327
4219 55480 787
3599 55103 402
5891 56034 105
6782 56602 386
6284 56310 456
4187 55693 585
5961 56460 842
4666 55832 730
3922 55333 658
4453 55535 537
7261 56603 684
6634 56367 760
4303 55508 644
4406 55858 57
3823 55534 867
4879 55706 244
4836 55689 812
6384 56363 110
7414 56748 524
3694 55209 553
4725 55711 40
6799 56478 17
4214 55451 376
4639 55944 97
6027 56103 73
5031 56209 652
5473 56033 613
4039 55648 834
4778 55706 691
6751 56368 454
7454 56751 990
4862 55685 127
4353 55532 752
4313 55857 975
5373 56010 258
3858 55273 274
4019 55363 789
4407 55884 962
7029 56455 616
5871 56041 186
4425 55864 661
4417 55829 386
6661 56366 875
4639 55944 919
4861 55710 128
4096 55501 552
6588 56536 572
4630 55623 895
6783 56284 464
4509 55574 312
6637 56370 917
5858 56063 928
5786 56251 724
6932 56397 358
6687 56602 679
6599 56567 948
5026 55855 299
5855 56088 459
4271 55507 680
5713 56686 205
6657 56366 191
4016 55632 240
7097 56667 557
7451 56739 331
5805 56336 493
7038 56571 527
4473 55589 997
5068 55749 542
6389 56270 969
4766 55677 762
4406 55858 87
4895 55708 513
5461 56018 527
4526 55559 27
7239 56693 934
6168 56187 669
6391 56329 663
5994 56101 908
4641 55947 342
5438 56002 20
3923 55325 761
4669 55831 540
7325 56717 523
6288 56192 666
3943 55336 297
4402 55514 395
6738 56424 480
4265 55505 467
7127 56566 574
5700 56245 409
6129 56301 352
5396 55947 77
5805 56336 331
4070 55681 68
7104 56711 500
4458 55536 971
4804 55679 176
4452 55536 765
3689 55180 451
6986 56717 243
7108 56686 617
6695 56628 910
4217 55478 540
5484 56039 492
3833 55290 208
7108 56686 482
7184 56629 768
4361 55831 227
6021 56067 115
3809 55533 186
4279 55508 794
7449 56740 576
5783 56017 807
6797 56426 696
6963 56724 942
4497 55564 298
7088 56657 630
5407 55926 572
5189 56074 992
4753 55674 442
5808 56325 909
4863 55688 577
4059 55360 249
5493 56009 382
3536 55098 535
4859 55684 514
4761 55633 973
5429 55979 986
6377 56243 830
4838 55686 963
3984 55333 650
3693 55208 489
5800 56279 279
5114 55883 632
4278 55505 77
6697 56419 769
7128 56567 713
5297 55913 385
5370 56003 449
5191 56065 787
7131 56570 834
6284 56310 657
4535 55860 194
7240 56665 163
5047 55833 862
6372 56341 248
3945 55648 343
5314 55952 581
6278 56266 413
5372 55978 225
6303 56539 481
3757 55508 919
4212 55447 288
3962 55660 302
4446 55589 304
3933 55335 812
7453 56749 437
6252 56248 318
6646 56389 741
4088 55451 973
4049 55591 642
3833 55290 905
5304 55925 453
7456 56727 339
6810 56447 972
3622 55123 824
6372 56341 50
4446 55589 156
3643 55160 683
4011 55635 638
3864 55649 502
4568 55600 362
6593 56270 135
7130 56568 761
4554 56193 189
7029 56455 654
3847 55298 325
5110 55913 165
5377 55957 507
5989 56312 319
5787 56254 439
